geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-02,139.3
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-03,152.86
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-04,155.89
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-05,155.3
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-06,154.04
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-07,177.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-08,156.93
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-09,140.94
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-10,158.29
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-11,158.04
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-12,158.72
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-13,162.4
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-14,184.81
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-15,161.15
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-16,139.11
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-17,153.97
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-18,157.97
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-19,157.79
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-20,168.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-21,181.71
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-22,165.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-23,141.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-24,153.85
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-25,154.5
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-26,159.7
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-27,160.56
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-28,181.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-29,163.71
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-30,142.35
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-31,157.13
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-01,160.31
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-02,159.56
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-03,168.86
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-04,185.28
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-05,166.63
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-06,147.02
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-07,151.82
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-08,226.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-09,177.61
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-10,140.53
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-11,148.64
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-12,123.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-13,104.49
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-14,129.24
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-15,137.91
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-16,143.94
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-17,151.64
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-18,169.5
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-19,169.7
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-20,150.65
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-21,164.45
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-22,161.8
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-23,175.32
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-24,179.71
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-25,191.34
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-26,182.43
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-27,151.78
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-28,159.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-29,149.04
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-09-30,152.06
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-01,157.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-02,177.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-03,165.58
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-04,135.79
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-05,144.02
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-06,145.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-07,141.8
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-08,152.88
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-09,176.03
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-10,153.3
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-11,125.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-12,135.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-13,137.38
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-14,144.15
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-15,147.2
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-16,169.61
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-17,164.7
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-18,128.66
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-19,137.1
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-20,138.85
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-21,140.59
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-22,144.34
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-23,169.31
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-24,157.48
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-25,124.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-26,131.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-27,134.1
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-28,137.69
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-29,147.96
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-30,173.91
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-10-31,158.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-01,124
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-11-02,128.06
